channel,in_tbi,in_control,in_common_set
AF3,True,True,True
AF4,True,True,True
AF7,True,True,True
AF8,True,True,True
AFz,True,False,False
C1,True,True,True
C2,True,True,True
C3,True,True,True
C4,True,True,True
C5,True,True,True
C6,True,True,True
CP1,True,True,True
CP2,True,True,True
CP3,True,True,True
CP4,True,True,True
CP5,True,True,True
CP6,True,True,True
CPz,True,True,True
Cz,True,True,True
F1,True,True,True
F2,True,True,True
F3,True,True,True
F4,True,True,True
F5,True,True,True
F6,True,True,True
F7,True,True,True
F8,True,True,True
FC1,True,True,True
FC2,True,True,True
FC3,True,True,True
FC4,True,True,True
FC5,True,True,True
FC6,True,True,True
FCz,True,False,False
FT10,False,True,False
FT7,True,True,True
FT8,True,True,True
FT9,False,True,False
Fp1,True,True,True
Fp2,True,True,True
Fz,True,True,True
O1,True,True,True
O2,True,True,True
Oz,True,True,True
P1,True,True,True
P2,True,True,True
P3,True,True,True
P4,True,True,True
P5,True,True,True
P6,True,True,True
P7,True,True,True
P8,True,True,True
PO10,False,True,False
PO3,True,True,True
PO4,True,True,True
PO7,True,True,True
PO8,True,True,True
PO9,False,True,False
POz,True,True,True
Pz,True,True,True
T7,True,True,True
T8,True,True,True
TP10,False,True,False
TP7,True,True,True
TP8,True,True,True
TP9,False,True,False
