feature,missing_prop,zero_variance
bp__central__abs_power_alpha,0.0,False
bp__central__abs_power_beta,0.0,False
bp__central__abs_power_delta,0.0,False
bp__central__abs_power_gamma,0.0,False
bp__central__abs_power_theta,0.0,False
bp__central__idx_log_slow_alpha_beta,0.0,False
bp__central__idx_slow_alpha,0.0,False
bp__central__idx_slow_alpha_beta,0.0,False
bp__central__idx_slow_beta,0.0,False
bp__central__rel_power_alpha,0.0,False
bp__central__rel_power_beta,0.0,False
bp__central__rel_power_delta,0.0,False
bp__central__rel_power_gamma,0.0,False
bp__central__rel_power_theta,0.0,False
bp__central__total_power_1_45,0.0,False
bp__frontal__abs_power_alpha,0.0,False
bp__frontal__abs_power_beta,0.0,False
bp__frontal__abs_power_delta,0.0,False
bp__frontal__abs_power_gamma,0.0,False
bp__frontal__abs_power_theta,0.0,False
bp__frontal__idx_log_slow_alpha_beta,0.0,False
bp__frontal__idx_slow_alpha,0.0,False
bp__frontal__idx_slow_alpha_beta,0.0,False
bp__frontal__idx_slow_beta,0.0,False
bp__frontal__rel_power_alpha,0.0,False
bp__frontal__rel_power_beta,0.0,False
bp__frontal__rel_power_delta,0.0,False
bp__frontal__rel_power_gamma,0.0,False
bp__frontal__rel_power_theta,0.0,False
bp__frontal__total_power_1_45,0.0,False
bp__occipital__abs_power_alpha,0.0,False
bp__occipital__abs_power_beta,0.0,False
bp__occipital__abs_power_delta,0.0,False
bp__occipital__abs_power_gamma,0.0,False
bp__occipital__abs_power_theta,0.0,False
bp__occipital__idx_log_slow_alpha_beta,0.0,False
bp__occipital__idx_slow_alpha,0.0,False
bp__occipital__idx_slow_alpha_beta,0.0,False
bp__occipital__idx_slow_beta,0.0,False
bp__occipital__rel_power_alpha,0.0,False
bp__occipital__rel_power_beta,0.0,False
bp__occipital__rel_power_delta,0.0,False
bp__occipital__rel_power_gamma,0.0,False
bp__occipital__rel_power_theta,0.0,False
bp__occipital__total_power_1_45,0.0,False
bp__parietal__abs_power_alpha,0.0,False
bp__parietal__abs_power_beta,0.0,False
bp__parietal__abs_power_delta,0.0,False
bp__parietal__abs_power_gamma,0.0,False
bp__parietal__abs_power_theta,0.0,False
bp__parietal__idx_log_slow_alpha_beta,0.0,False
bp__parietal__idx_slow_alpha,0.0,False
bp__parietal__idx_slow_alpha_beta,0.0,False
bp__parietal__idx_slow_beta,0.0,False
bp__parietal__rel_power_alpha,0.0,False
bp__parietal__rel_power_beta,0.0,False
bp__parietal__rel_power_delta,0.0,False
bp__parietal__rel_power_gamma,0.0,False
bp__parietal__rel_power_theta,0.0,False
bp__parietal__total_power_1_45,0.0,False
bp__temporal__abs_power_alpha,0.0,False
bp__temporal__abs_power_beta,0.0,False
bp__temporal__abs_power_delta,0.0,False
bp__temporal__abs_power_gamma,0.0,False
bp__temporal__abs_power_theta,0.0,False
bp__temporal__idx_log_slow_alpha_beta,0.0,False
bp__temporal__idx_slow_alpha,0.0,False
bp__temporal__idx_slow_alpha_beta,0.0,False
bp__temporal__idx_slow_beta,0.0,False
bp__temporal__rel_power_alpha,0.0,False
bp__temporal__rel_power_beta,0.0,False
bp__temporal__rel_power_delta,0.0,False
bp__temporal__rel_power_gamma,0.0,False
bp__temporal__rel_power_theta,0.0,False
bp__temporal__total_power_1_45,0.0,False
spec_shape__central__sef50,0.0,False
spec_shape__central__sef95,0.0,False
spec_shape__central__spectral_entropy,0.0,False
spec_shape__central__spectral_flatness,0.0,False
spec_shape__frontal__sef50,0.0,False
spec_shape__frontal__sef95,0.0,False
spec_shape__frontal__spectral_entropy,0.0,False
spec_shape__frontal__spectral_flatness,0.0,False
spec_shape__occipital__sef50,0.0,False
spec_shape__occipital__sef95,0.0,False
spec_shape__occipital__spectral_entropy,0.0,False
spec_shape__occipital__spectral_flatness,0.0,False
spec_shape__parietal__sef50,0.0,False
spec_shape__parietal__sef95,0.0,False
spec_shape__parietal__spectral_entropy,0.0,False
spec_shape__parietal__spectral_flatness,0.0,False
spec_shape__temporal__sef50,0.0,False
spec_shape__temporal__sef95,0.0,False
spec_shape__temporal__spectral_entropy,0.0,False
spec_shape__temporal__spectral_flatness,0.0,False
aper_alpha__central__alpha_peak_amplitude,0.0,False
aper_alpha__central__alpha_peak_frequency,0.0,False
aper_alpha__central__alpha_peak_residual_amplitude,0.0,False
aper_alpha__central__aperiodic_exponent,0.0,False
aper_alpha__central__aperiodic_offset,0.0,False
aper_alpha__frontal__alpha_peak_amplitude,0.0,False
aper_alpha__frontal__alpha_peak_frequency,0.0,False
aper_alpha__frontal__alpha_peak_residual_amplitude,0.0,False
aper_alpha__frontal__aperiodic_exponent,0.0,False
aper_alpha__frontal__aperiodic_offset,0.0,False
aper_alpha__occipital__alpha_peak_amplitude,0.0,False
aper_alpha__occipital__alpha_peak_frequency,0.0,False
aper_alpha__occipital__alpha_peak_residual_amplitude,0.0,False
aper_alpha__occipital__aperiodic_exponent,0.0,False
aper_alpha__occipital__aperiodic_offset,0.0,False
aper_alpha__parietal__alpha_peak_amplitude,0.0,False
aper_alpha__parietal__alpha_peak_frequency,0.0,False
aper_alpha__parietal__alpha_peak_residual_amplitude,0.0,False
aper_alpha__parietal__aperiodic_exponent,0.0,False
aper_alpha__parietal__aperiodic_offset,0.0,False
aper_alpha__temporal__alpha_peak_amplitude,0.0,False
aper_alpha__temporal__alpha_peak_frequency,0.0,False
aper_alpha__temporal__alpha_peak_residual_amplitude,0.0,False
aper_alpha__temporal__aperiodic_exponent,0.0,False
aper_alpha__temporal__aperiodic_offset,0.0,False
