roi,band,feature,tbi_mean,control_mean,delta_tbi_minus_control,tbi_median,control_median,delta_median_tbi_minus_control,tbi_iqr,control_iqr,hedges_g,rank_biserial,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05
temporal,alpha,dfa_exponent,0.7787965570095514,0.8252066081491107,-0.046410051139559316,0.777559395180994,0.8190212456698001,-0.04146185048880602,0.0816429957089474,0.09707055271114984,-0.680777070904312,-0.3653381642512077,2102.0,6.131495254845553e-05,92,72,0.0006131495254845553,True
central,beta,dfa_exponent,0.7022609559784087,0.730194500521782,-0.02793354454337338,0.7040645311866242,0.7211595530324642,-0.017095021845839997,0.08377913077935839,0.068742525560612,-0.4903475997707794,-0.28894927536231885,2355.0,0.0015276778442975582,92,72,0.005092259480991861,True
temporal,beta,dfa_exponent,0.6950481257017269,0.7252855214897268,-0.030237395787999888,0.6974820775145175,0.7182082174338738,-0.020726139919356235,0.08090574918316229,0.06645220781956196,-0.5540069734602563,-0.2961956521739131,2331.0,0.001158529810989966,92,72,0.005092259480991861,True
occipital,beta,dfa_exponent,0.6868722455469617,0.7088075445141538,-0.02193529896719215,0.6857498016478847,0.706027923105941,-0.020278121458056297,0.0778719889410251,0.06775716183128533,-0.2845686756383666,-0.18327294685990336,2705.0,0.04446880072842484,92,72,0.11117200182106209,False
central,alpha,dfa_exponent,0.8157349869561088,0.8247462643071664,-0.009011277351057556,0.817124105101692,0.8342014752189426,-0.017077370117250634,0.08940490825103187,0.11184402426654738,-0.11393153640970766,-0.07940821256038644,3049.0,0.3844114701749327,92,72,0.43910529365216056,False
frontal,alpha,dfa_exponent,0.8353668428509143,0.8462086484455376,-0.010841805594623222,0.8451027640105229,0.8509178519377192,-0.005815087927196316,0.1214585654524094,0.13090319702985076,-0.12584467890396167,-0.0718599033816425,3074.0,0.4313058713064428,92,72,0.43910529365216056,False
frontal,beta,dfa_exponent,0.7154599173280481,0.7202686187582077,-0.004808701430159545,0.71076525194994,0.7230625943810284,-0.012297342431088376,0.08613482804740824,0.07839865274488811,-0.07474046353613975,-0.09541062801932365,2996.0,0.29583217960730424,92,72,0.43910529365216056,False
occipital,alpha,dfa_exponent,0.8230932541160135,0.835517059829502,-0.012423805713488445,0.8365367588468671,0.8370162292631262,-0.00047947041625917564,0.11882147065017001,0.12946755023228207,-0.13129306341029848,-0.07367149758454106,3068.0,0.41975863420959525,92,72,0.43910529365216056,False
parietal,alpha,dfa_exponent,0.8509302882300811,0.8637017651733839,-0.012771476943302829,0.855246190618389,0.8606556661657297,-0.005409475547340725,0.1237654376069165,0.13042343910996657,-0.1461878407332353,-0.07065217391304346,3078.0,0.43910529365216056,92,72,0.43910529365216056,False
parietal,beta,dfa_exponent,0.727810706602494,0.730812215983368,-0.003001509380873957,0.7164974711694971,0.7307394143412502,-0.014241943171753091,0.08229661556759904,0.07860887280296225,-0.04457064912015558,-0.07729468599033817,3056.0,0.39721688640777697,92,72,0.43910529365216056,False
