channel,roi,side
C1,central,left
C3,central,left
C5,central,left
CP1,central,left
CP3,central,left
CP5,central,left
CPz,central,midline
Cz,central,midline
C2,central,right
C4,central,right
C6,central,right
CP2,central,right
CP4,central,right
CP6,central,right
AF3,frontal,left
AF7,frontal,left
F1,frontal,left
F3,frontal,left
F5,frontal,left
FC1,frontal,left
FC3,frontal,left
FC5,frontal,left
Fp1,frontal,left
AFz,frontal,midline
FCz,frontal,midline
Fz,frontal,midline
AF4,frontal,right
AF8,frontal,right
F2,frontal,right
F4,frontal,right
