method,band,roi_i,roi_j,tbi_mean,control_mean,delta_tbi_minus_control,hedges_g,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05
wpli,alpha,central,central,1.0,1.0,0.0,,3312.0,1.0,92,72,1.0,False
wpli,alpha,central,frontal,0.2529203169327996,0.1998246679098877,0.05309564902291189,0.3022245753470236,3837.0,0.08222194888125764,92,72,0.2205785389498765,False
wpli,alpha,central,occipital,0.1737867127547338,0.18821527248214823,-0.014428559727414414,-0.1010981159860035,3153.0,0.5994500169390256,92,72,0.9042457810502871,False
wpli,alpha,central,parietal,0.2731682429779335,0.21794929013777425,0.05521895284015926,0.29877936457685844,3827.0,0.08823141557995061,92,72,0.2205785389498765,False
wpli,alpha,central,temporal,0.16537563377505074,0.1448668261176197,0.020508807657431044,0.1507632347424341,3449.0,0.6510569623562067,92,72,0.9042457810502871,False
wpli,alpha,frontal,central,0.2529203169327996,0.1998246679098877,0.05309564902291189,0.3022245753470236,3837.0,0.08222194888125764,92,72,0.2205785389498765,False
wpli,alpha,frontal,frontal,1.0,1.0,0.0,,3312.0,1.0,92,72,1.0,False
wpli,alpha,frontal,occipital,0.28871837813333673,0.1954578597801238,0.09326051835321292,0.5287448746332593,4151.0,0.005463078259237166,92,72,0.04570035476350569,True
wpli,alpha,frontal,parietal,0.16963232707125203,0.12425863860502778,0.04537368846622425,0.35211796472117396,3843.0,0.07877850232664346,92,72,0.2205785389498765,False
wpli,alpha,frontal,temporal,0.20424613954611615,0.1848877813679672,0.019358358178148932,0.12413032891708818,3549.0,0.4332481603337829,92,72,0.7736574291674694,False
wpli,alpha,occipital,central,0.1737867127547338,0.18821527248214823,-0.014428559727414414,-0.1010981159860035,3153.0,0.5994500169390256,92,72,0.9042457810502871,False
wpli,alpha,occipital,frontal,0.28871837813333673,0.1954578597801238,0.09326051835321292,0.5287448746332593,4151.0,0.005463078259237166,92,72,0.04570035476350569,True
wpli,alpha,occipital,occipital,1.0,1.0,0.0,,3312.0,1.0,92,72,1.0,False
wpli,alpha,occipital,parietal,0.3224944364974308,0.23014743369886714,0.09234700279856367,0.4995447974656865,4122.0,0.007312056762160911,92,72,0.04570035476350569,True
wpli,alpha,occipital,temporal,0.21519611449804188,0.19523030320627052,0.019965811291771357,0.12077184722907207,3324.0,0.9696036595364972,92,72,1.0,False
wpli,alpha,parietal,central,0.2731682429779335,0.21794929013777425,0.05521895284015926,0.29877936457685844,3827.0,0.08823141557995061,92,72,0.2205785389498765,False
wpli,alpha,parietal,frontal,0.16963232707125203,0.12425863860502778,0.04537368846622425,0.35211796472117396,3843.0,0.07877850232664346,92,72,0.2205785389498765,False
wpli,alpha,parietal,occipital,0.3224944364974308,0.23014743369886714,0.09234700279856367,0.4995447974656865,4122.0,0.007312056762160911,92,72,0.04570035476350569,True
wpli,alpha,parietal,parietal,1.0,1.0,0.0,,3312.0,1.0,92,72,1.0,False
wpli,alpha,parietal,temporal,0.22240767871441067,0.19056112150826263,0.03184655720614804,0.1942841231934747,3630.0,0.2927812357873061,92,72,0.6099609078902211,False
wpli,alpha,temporal,central,0.16537563377505074,0.1448668261176197,0.020508807657431044,0.1507632347424341,3449.0,0.6510569623562067,92,72,0.9042457810502871,False
wpli,alpha,temporal,frontal,0.20424613954611615,0.1848877813679672,0.019358358178148932,0.12413032891708818,3549.0,0.4332481603337829,92,72,0.7736574291674694,False
wpli,alpha,temporal,occipital,0.21519611449804188,0.19523030320627052,0.019965811291771357,0.12077184722907207,3324.0,0.9696036595364972,92,72,1.0,False
wpli,alpha,temporal,parietal,0.22240767871441067,0.19056112150826263,0.03184655720614804,0.1942841231934747,3630.0,0.2927812357873061,92,72,0.6099609078902211,False
wpli,alpha,temporal,temporal,1.0,1.0,0.0,,3312.0,1.0,92,72,1.0,False
